iter	Passed	Remaining
419	2217	3062
420	2220	3053
421	2222	3044
422	2224	3034
423	2227	3025
424	2230	3017
425	2233	3009
426	2236	3001
427	2239	2992
428	2241	2984
429	2245	2976
430	2251	2972
431	2255	2964
432	2258	2958
433	2262	2950
434	2271	2950
435	2274	2942
436	2277	2934
437	2280	2926
438	2283	2917
439	2285	2909
440	2294	2908
441	2297	2900
442	2299	2891
443	2301	2882
444	2304	2873
445	2306	2865
446	2309	2856
447	2313	2849
448	2318	2845
449	2323	2839
450	2337	2844
451	2340	2837
452	2343	2829
453	2349	2825
454	2352	2817
455	2362	2818
456	2368	2814
457	2370	2805
458	2373	2797
459	2376	2789
460	2401	2807
461	2404	2799
462	2407	2792
463	2410	2784
464	2414	2777
465	2425	2779
466	2430	2774
467	2434	2767
468	2438	2760
469	2462	2777
470	2467	2771
471	2471	2764
472	2481	2764
473	2484	2757
474	2487	2749
475	2490	2741
476	2493	2734
477	2500	2731
478	2503	2723
479	2506	2715
480	2509	2707
481	2511	2699
482	2514	2692
483	2517	2683
484	2520	2675
485	2523	2668
486	2527	2662
487	2530	2654
488	2532	2646
489	2556	2660
490	2563	2657
491	2566	2650
492	2570	2643
493	2572	2635
494	2577	2629
495	2581	2623
496	2585	2617
497	2588	2609
498	2590	2601
499	2594	2594
500	2596	2586
501	2598	2578
502	2601	2570
503	2604	2562
504	2606	2554
505	2608	2547
506	2611	2539
507	2614	2531
508	2617	2524
509	2620	2517
510	2623	2510
511	2627	2504
512	2630	2497
513	2634	2490
514	2637	2483
515	2640	2476
516	2643	2469
517	2645	2461
518	2649	2455
519	2652	2448
520	2654	2440
521	2657	2433
522	2659	2425
523	2663	2419
524	2665	2411
525	2668	2404
526	2670	2397
527	2673	2389
528	2675	2382
529	2678	2375
530	2681	2368
531	2683	2360
532	2686	2353
533	2688	2346
534	2692	2340
535	2696	2333
536	2700	2327
537	2704	2322
538	2709	2317
539	2713	2311
540	2717	2306
541	2721	2300
542	2726	2294
543	2729	2288
544	2733	2281
545	2736	2275
546	2740	2269
547	2744	2263
548	2747	2256
549	2750	2250
550	2754	2244
551	2757	2238
552	2773	2242
553	2776	2234
554	2778	2227
555	2780	2220
556	2783	2213
557	2787	2208
558	2791	2202
559	2795	2196
560	2798	2190
561	2807	2188
562	2813	2183
563	2825	2183
564	2828	2178
565	2837	2176
566	2840	2169
567	2843	2162
568	2846	2156
569	2850	2150
570	2863	2151
571	2867	2145
572	2870	2138
573	2872	2131
574	2875	2125
575	2892	2129
576	2894	2122
577	2897	2115
578	2899	2108
579	2902	2101
580	2905	2095
581	2924	2100
582	2928	2094
583	2932	2088
584	2936	2082
585	2944	2080
586	2948	2074
587	2952	2068
588	2955	2062
589	2959	2056
590	2964	2051
591	2967	2044
592	2970	2038
593	2972	2031
594	2975	2025
595	2992	2028
596	2994	2021
597	2998	2015
598	3001	2009
599	3003	2002
600	3014	2001
601	3018	1995
602	3021	1989
603	3029	1986
604	3035	1981
605	3038	1975
606	3043	1970
607	3046	1964
608	3067	1969
609	3069	1962
610	3072	1955
611	3074	1949
612	3078	1943
613	3080	1936
614	3086	1932
615	3097	1931
616	3100	1924
617	3103	1918
618	3105	1911
619	3113	1908
620	3151	1923
621	3155	1917
622	3159	1911
623	3163	1906
624	3175	1905
625	3179	1899
626	3183	1893
627	3186	1887
628	3192	1883
629	3196	1877
630	3199	1870
631	3202	1864
632	3205	1858
633	3229	1864
634	3231	1857
635	3233	1850
636	3235	1843
637	3237	1837
638	3240	1830
639	3242	1823
640	3282	1838
641	3328	1856
642	3333	1850
643	3336	1844
644	3339	1838
645	3352	1837
646	3355	1830
647	3363	1826
648	3366	1820
649	3368	1813
650	3371	1807
651	3374	1801
652	3377	1794
653	3379	1788
654	3382	1781
655	3384	1774
656	3386	1767
657	3392	1763
658	3396	1757
659	3399	1751
660	3401	1744
661	3403	1737
662	3406	1731
663	3408	1724
664	3410	1717
665	3424	1717
666	3453	1724
667	3458	1719
668	3480	1722
669	3484	1716
670	3488	1710
671	3491	1704
672	3494	1697
673	3503	1694
674	3506	1688
675	3509	1682
676	3512	1675
677	3515	1669
678	3520	1664
679	3523	1657
680	3525	1651
681	3527	1644
682	3529	1638
683	3531	1631
684	3534	1625
685	3541	1620
686	3543	1614
687	3545	1607
688	3547	1601
689	3549	1594
690	3551	1588
691	3553	1581
692	3561	1577
693	3564	1571
694	3568	1566
695	3572	1560
696	3610	1569
697	3615	1564
698	3619	1558
699	3622	1552
700	3650	1557
701	3653	1550
702	3657	1545
703	3659	1538
704	3662	1532
705	3664	1526
706	3698	1532
707	3700	1526
708	3702	1519
709	3705	1513
710	3707	1507
711	3711	1501
712	3716	1496
713	3721	1490
714	3728	1486
715	3749	1487
716	3753	1481
717	3757	1475
718	3760	1469
719	3768	1465
720	3771	1459
721	3774	1453
722	3777	1447
723	3779	1440
724	3782	1434
725	3787	1429
726	3789	1423
727	3792	1416
728	3794	1410
729	3796	1404
730	3798	1397
731	3803	1392
732	3805	1386
733	3807	1379
734	3810	1373
735	3812	1367
736	3814	1361
737	3816	1355
738	3821	1349
739	3823	1343
740	3825	1337
741	3828	1331
742	3830	1325
743	3837	1320
744	3842	1315
745	3846	1309
746	3849	1303
747	3853	1298
748	3861	1293
749	3864	1288
750	3867	1282
751	3869	1276
752	3872	1270
753	3881	1266
754	3883	1260
755	3887	1254
756	3891	1249
757	3893	1243
758	3896	1237
759	3899	1231
760	3902	1225
761	3905	1219
762	3908	1214
763	3913	1208
764	3917	1203
765	3921	1197
766	3925	1192
767	3929	1187
768	3932	1181
769	3936	1175
770	3950	1173
771	3953	1167
772	3955	1161
773	3961	1156
774	3971	1152
775	3974	1147
776	3977	1141
777	3985	1137
778	3988	1131
779	3991	1125
