iter	Logloss
0	0.6887547374
1	0.6843869686
2	0.6800487041
3	0.6757403612
4	0.6714621782
5	0.667206645
6	0.6629793048
7	0.6587860584
8	0.6546161175
9	0.6504782438
10	0.6463617086
11	0.6422722936
12	0.638213098
13	0.6341841221
14	0.6301804781
15	0.6261973381
16	0.6222505569
17	0.6183270812
18	0.6144247055
19	0.6105567217
20	0.6067079902
21	0.602891326
22	0.5991021991
23	0.5953323841
24	0.5915902853
25	0.5878762007
26	0.5841875672
27	0.580521822
28	0.5768795013
29	0.5732631683
30	0.5696781278
31	0.5661118031
32	0.5625720024
33	0.5590507388
34	0.5555591583
35	0.5520921946
36	0.5486523509
37	0.5452291369
38	0.5418360829
39	0.5384600163
40	0.5351117849
41	0.5317914486
42	0.5284858346
43	0.5252058506
44	0.5219486952
45	0.5187146068
46	0.5155063868
47	0.512316227
48	0.5091493726
49	0.5060032606
50	0.5028811097
51	0.4997770488
52	0.496699661
53	0.4936404824
54	0.4905999601
55	0.4875863791
56	0.4845913649
57	0.481618017
58	0.4786633849
59	0.475728035
60	0.4728195667
61	0.4699248374
62	0.4670495093
63	0.4641985893
64	0.4613669813
65	0.4585467279
66	0.4557565153
67	0.4529779553
68	0.4502212703
69	0.4474870861
70	0.4447640479
71	0.4420608282
72	0.4393827617
73	0.4367187619
74	0.4340694547
75	0.4314449728
76	0.428832233
77	0.4262419343
78	0.4236636162
79	0.4211024344
80	0.4185637236
81	0.4160421789
82	0.4135352373
83	0.4110402465
84	0.408567667
85	0.4061072469
86	0.4036770463
87	0.4012663364
88	0.3988730013
89	0.3964946866
90	0.3941340446
91	0.3917883039
92	0.3894575238
93	0.3871421218
94	0.3848416209
95	0.3825590611
96	0.3802891076
97	0.3780372739
98	0.375797987
99	0.3735767603
100	0.3713681698
101	0.3691751957
102	0.3669976592
103	0.3648356795
104	0.3626865447
105	0.3605556488
106	0.358435154
107	0.3563330173
108	0.3542437553
109	0.3521676958
110	0.3501072824
111	0.3480598032
112	0.3460281789
113	0.3440099359
114	0.3420072794
115	0.3400151134
116	0.3380388319
117	0.3360784352
118	0.3341286182
119	0.3321947157
120	0.3302740157
121	0.328363955
122	0.3264696598
123	0.3245887756
124	0.3227211237
125	0.3208668828
126	0.3190258443
127	0.3171980381
128	0.3153836131
129	0.3135797977
130	0.3117893338
131	0.3100122213
132	0.3082483411
133	0.3064978123
134	0.3047579527
135	0.3030313849
136	0.3013180494
137	0.299615562
138	0.2979262471
139	0.2962476015
140	0.2945822179
141	0.2929301262
142	0.2912885547
143	0.2896578908
144	0.2880402207
145	0.2864255011
146	0.2848234773
147	0.2832288146
148	0.2816413939
149	0.280074358
150	0.2785146832
151	0.2769570947
152	0.2754225731
153	0.2738974988
154	0.2723747194
155	0.2708746791
156	0.2693767548
157	0.2678937316
158	0.2664202452
159	0.2649566531
160	0.2634971142
161	0.2620580196
162	0.2606204152
163	0.259200424
164	0.2577844858
165	0.2563781142
166	0.2549839318
167	0.253598839
168	0.2522178888
169	0.2508571148
170	0.2494949996
171	0.248152554
172	0.2468115389
173	0.2454770803
174	0.2441570163
175	0.2428461313
176	0.241538927
177	0.2402435541
178	0.2389600277
179	0.2376853824
180	0.2364115417
181	0.2351493686
182	0.2338987589
183	0.2326516211
184	0.231413424
185	0.2301837206
186	0.2289628983
187	0.2277507186
188	0.226542145
189	0.2253393829
190	0.2241505831
191	0.2229685336
192	0.2218065858
193	0.2206509262
194	0.2195011973
195	0.2183601856
196	0.2172248214
197	0.2160981447
198	0.214977622
199	0.2138653994
200	0.2127566189
201	0.2116593719
202	0.2105674148
203	0.2094820142
204	0.2084019184
205	0.2073309422
206	0.2062656283
207	0.2052087486
208	0.2041553855
209	0.2031130791
210	0.2020739317
211	0.2010433972
212	0.2000161111
213	0.1989997923
214	0.1979869604
215	0.1969825029
216	0.1959812641
217	0.1949885786
218	0.1940041482
219	0.1930232048
220	0.1920505762
221	0.1910810024
222	0.1901201308
223	0.1891648173
224	0.1882153153
225	0.1872714758
226	0.1863364577
227	0.1854041815
228	0.1844803691
229	0.1835595965
230	0.1826473176
231	0.1817407608
232	0.1808397174
233	0.1799420118
234	0.1790523082
235	0.1781684756
236	0.1772903204
237	0.176417768
238	0.1755507588
239	0.1746896058
240	0.1738339365
241	0.1729812175
242	0.1721368283
243	0.1712978631
244	0.1704643965
245	0.1696341485
246	0.1688120365
247	0.1679924726
248	0.1671815515
249	0.166373089
250	0.1655703336
251	0.1647730619
252	0.1639811993
253	0.163195014
254	0.1624113917
255	0.1616358459
256	0.1608632207
257	0.1600987464
258	0.1593369246
259	0.1585777998
260	0.1578269452
261	0.1570810676
262	0.1563380361
263	0.1556006223
264	0.1548682749
265	0.1541410089
266	0.1534166336
267	0.1526978612
268	0.1519838572
269	0.1512754261
270	0.1505720615
271	0.1498714983
272	0.1491761953
273	0.1484858096
274	0.1477982998
275	0.1471155435
276	0.1464385986
277	0.145766139
278	0.1450965703
279	0.1444322467
280	0.1437729597
281	0.1431158185
282	0.1424639225
283	0.1418172419
284	0.1411731839
285	0.1405339241
286	0.1398996711
287	0.1392677724
288	0.138641119
289	0.1380191743
290	0.1373996437
291	0.136785388
292	0.1361757815
293	0.1355686784
294	0.1349664032
295	0.1343663931
296	0.1337714195
297	0.1331762075
298	0.1325777471
299	0.1319829822
300	0.1313947886
301	0.1308099329
302	0.1302289069
303	0.1296540499
304	0.1290748119
305	0.1285015941
306	0.1279375255
307	0.1273688376
308	0.1268112659
309	0.1262493879
310	0.1257014573
311	0.1251518428
312	0.124602586
313	0.1240541935
314	0.12350896
315	0.1229777336
316	0.1224415302
317	0.1219033599
